respondent_id,xyz_vaccine,seasonal_vaccine
27113,0.1458,0.3954
27114,0.1185,0.4366
27115,0.8063,0.9296
27116,0.1185,0.4366
27117,0.0259,0.0883
27118,0.05,0.4191
27119,0.0779,0.432
27120,0.1774,0.9623
27121,0.0315,0.7386
27122,0.0254,0.2353
27123,0.0974,0.1053
27124,0.0236,0.0735
27125,0.0096,0.0532
27126,0.4414,0.1247
27127,0.0381,0.1231
27128,0.2756,0.6006
27129,0.3794,0.5433
27130,0.1185,0.4366
27131,0.1224,0.0846
27132,0.3365,0.8861
27133,0.0408,0.4971
27134,0.7136,0.9096
27135,0.0844,0.5148
27136,0.0944,0.5019
27137,0.1357,0.2951
27138,0.076,0.5096
27139,0.084,0.0866
27140,0.9528,0.9544
27141,0.7436,0.8741
27142,0.0244,0.2423
27143,0.3394,0.5207
27144,0.0299,0.0349
27145,0.6708,0.776
27146,0.1166,0.9267
27147,0.1185,0.4366
27148,0.1258,0.2131
27149,0.101,0.1661
27150,0.4426,0.9761
27151,0.1689,0.7541
27152,0.0506,0.3672
27153,0.1185,0.4366
27154,0.1185,0.4366
27155,0.2048,0.6854
27156,0.0059,0.2457
27157,0.0384,0.4678
27158,0.0239,0.3004
27159,0.0906,0.2258
27160,0.1423,0.1896
27161,0.2954,0.553
27162,0.1063,0.9271
27163,0.5381,0.5084
27164,0.1412,0.0687
27165,0.6828,0.6354
27166,0.1463,0.1417
27167,0.1185,0.4366
27168,0.1459,0.6538
27169,0.1185,0.4366
27170,0.4191,0.8722
27171,0.0189,0.2571
27172,0.1185,0.4366
27173,0.3591,0.6769
27174,0.0213,0.0956
27175,0.0348,0.1606
27176,0.5918,0.951
27177,0.8598,0.9618
27178,0.0511,0.3324
27179,0.1477,0.2916
27180,0.1432,0.2559
27181,0.0517,0.7621
27182,0.434,0.9092
27183,0.0118,0.4453
27184,0.0489,0.4793
27185,0.3353,0.7718
27186,0.1613,0.683
27187,0.2185,0.1725
27188,0.0686,0.4819
27189,0.11,0.5721
27190,0.1859,0.7602
27191,0.2922,0.968
27192,0.3608,0.7719
27193,0.0063,0.1512
27194,0.2313,0.5006
27195,0.0132,0.135
27196,0.1467,0.2054
27197,0.1464,0.7887
27198,0.1185,0.4366
27199,0.0564,0.1121
27200,0.1185,0.4366
27201,0.529,0.9153
27202,0.1554,0.0459
27203,0.0285,0.1144
27204,0.0545,0.1271
27205,0.1185,0.4366
27206,0.3271,0.2509
27207,0.1185,0.4366
27208,0.8263,0.7514
27209,0.1185,0.4366
27210,0.1347,0.309
27211,0.0488,0.271
27212,0.2675,0.9254
27213,0.2939,0.5516
27214,0.0372,0.0755
27215,0.1185,0.4366
27216,0.1128,0.9242
27217,0.0253,0.1205
27218,0.8027,0.9636
27219,0.5585,0.6394
27220,0.224,0.4999
27221,0.0624,0.4822
27222,0.0595,0.4427
27223,0.0341,0.5392
27224,0.0925,0.6992
27225,0.2379,0.2511
27226,0.0271,0.2626
27227,0.245,0.4335
27228,0.5368,0.8765
27229,0.8696,0.9464
27230,0.2855,0.976
27231,0.5883,0.8798
27232,0.1432,0.6163
27233,0.6013,0.1767
27234,0.0306,0.0177
27235,0.9284,0.9584
27236,0.1652,0.936
27237,0.3899,0.5091
27238,0.1185,0.4366
27239,0.2166,0.1492
27240,0.0354,0.4589
27241,0.13,0.2932
27242,0.2119,0.7035
27243,0.094,0.1158
27244,0.0235,0.1093
27245,0.1185,0.4366
27246,0.1185,0.4366
27247,0.2638,0.9377
27248,0.1916,0.7878
27249,0.1185,0.4366
27250,0.1867,0.3495
27251,0.1185,0.4366
27252,0.2308,0.7594
27253,0.0293,0.8736
27254,0.9465,0.9769
27255,0.1185,0.4366
27256,0.6624,0.9739
27257,0.4772,0.6041
27258,0.2571,0.7366
27259,0.3779,0.8969
27260,0.0956,0.6546
27261,0.1438,0.6752
27262,0.1116,0.5695
27263,0.0476,0.1075
27264,0.0384,0.0744
27265,0.1187,0.2016
27266,0.074,0.3781
27267,0.1958,0.836
27268,0.0054,0.1208
27269,0.826,0.6238
27270,0.0146,0.071
27271,0.016,0.2935
27272,0.0321,0.3625
27273,0.0878,0.1888
27274,0.2009,0.5641
27275,0.2509,0.4137
27276,0.0026,0.092
27277,0.0775,0.8006
27278,0.0912,0.304
27279,0.034,0.1865
27280,0.1185,0.4366
27281,0.1185,0.4366
27282,0.1376,0.8486
27283,0.0147,0.0671
27284,0.1184,0.3132
27285,0.0321,0.2844
27286,0.1185,0.4366
27287,0.0631,0.3993
27288,0.7734,0.8456
27289,0.1258,0.3434
27290,0.01,0.0616
27291,0.5271,0.8639
27292,0.1144,0.6847
27293,0.0628,0.9448
27294,0.0326,0.0467
27295,0.2989,0.9018
27296,0.1666,0.7316
27297,0.1052,0.6632
27298,0.0378,0.2138
27299,0.2818,0.7358
27300,0.1182,0.9463
27301,0.0185,0.0602
27302,0.1806,0.6965
27303,0.0289,0.1121
27304,0.0209,0.7473
27305,0.0219,0.0285
27306,0.2237,0.5918
27307,0.8524,0.858
27308,0.3019,0.3244
27309,0.673,0.9715
27310,0.0208,0.0743
27311,0.0544,0.0899
27312,0.0304,0.319
27313,0.0417,0.1271
27314,0.0641,0.0601
27315,0.0401,0.3167
27316,0.1185,0.4366
27317,0.1185,0.4366
27318,0.1185,0.4366
27319,0.1587,0.844
27320,0.1937,0.561
27321,0.0509,0.6186
27322,0.4956,0.0884
27323,0.0566,0.4896
27324,0.1533,0.4549
27325,0.815,0.943
27326,0.042,0.5967
27327,0.1185,0.4366
27328,0.2924,0.6294
27329,0.1682,0.2965
27330,0.1185,0.4366
27331,0.1446,0.2766
27332,0.0949,0.8943
27333,0.7035,0.8347
27334,0.0812,0.0388
27335,0.262,0.0884
27336,0.126,0.1709
27337,0.2753,0.8414
27338,0.3362,0.5346
27339,0.1198,0.1677
27340,0.0064,0.1215
27341,0.3224,0.6963
27342,0.0577,0.5379
27343,0.1014,0.1689
27344,0.3976,0.5155
27345,0.0306,0.2521
27346,0.5937,0.9536
27347,0.8181,0.9557
27348,0.0465,0.2698
27349,0.0779,0.2032
27350,0.0773,0.8956
27351,0.7517,0.8529
27352,0.0389,0.2409
27353,0.0033,0.0976
27354,0.2114,0.5508
27355,0.4611,0.5356
27356,0.1185,0.4366
27357,0.1746,0.3937
27358,0.2033,0.7155
27359,0.4181,0.7524
27360,0.131,0.5809
27361,0.0145,0.8713
27362,0.3103,0.5281
27363,0.1185,0.4366
27364,0.1185,0.4366
27365,0.2549,0.6739
27366,0.2929,0.5069
27367,0.1185,0.4366
27368,0.0331,0.4748
27369,0.0301,0.0453
27370,0.0142,0.8309
27371,0.1294,0.3025
27372,0.1105,0.3151
27373,0.9085,0.7593
27374,0.0379,0.324
27375,0.0952,0.9066
27376,0.5461,0.46
27377,0.1853,0.5786
27378,0.0956,0.1885
27379,0.0514,0.1959
27380,0.0838,0.9302
27381,0.0547,0.607
27382,0.155,0.1674
27383,0.0702,0.5449
27384,0.0205,0.344
27385,0.1467,0.9181
27386,0.1403,0.8201
27387,0.3486,0.8097
27388,0.1849,0.3166
27389,0.0958,0.2438
27390,0.0298,0.0396
27391,0.2389,0.7796
27392,0.7597,0.8485
27393,0.0061,0.0664
27394,0.0281,0.4697
27395,0.794,0.7225
27396,0.1498,0.109
27397,0.9397,0.9656
27398,0.2317,0.7791
27399,0.2313,0.5989
27400,0.1185,0.4366
27401,0.2161,0.279
27402,0.2339,0.8181
27403,0.0974,0.2814
27404,0.1843,0.2301
27405,0.7596,0.8682
27406,0.0363,0.1664
27407,0.1299,0.0815
27408,0.138,0.6293
27409,0.933,0.9771
27410,0.0364,0.2413
27411,0.1185,0.4366
27412,0.1185,0.4366
27413,0.017,0.2886
27414,0.8872,0.8005
27415,0.0254,0.2117
27416,0.1185,0.4366
27417,0.1185,0.4366
27418,0.4762,0.2445
27419,0.4702,0.9521
27420,0.0389,0.1197
27421,0.1185,0.4366
27422,0.1737,0.6602
27423,0.046,0.3715
27424,0.0606,0.4167
27425,0.1878,0.4124
27426,0.1612,0.292
27427,0.0474,0.2846
27428,0.0955,0.2289
27429,0.4698,0.3751
27430,0.0681,0.7237
27431,0.1051,0.4591
27432,0.3383,0.6616
27433,0.2578,0.8785
27434,0.1185,0.4366
27435,0.3505,0.6725
27436,0.1185,0.4366
27437,0.1576,0.1482
27438,0.1185,0.4366
27439,0.1185,0.4366
27440,0.1185,0.4366
27441,0.8748,0.9366
27442,0.1428,0.9519
27443,0.0542,0.1592
27444,0.0515,0.0238
27445,0.0578,0.0361
27446,0.194,0.0923
27447,0.0356,0.2226
27448,0.1185,0.4366
27449,0.2238,0.9461
27450,0.0695,0.8953
27451,0.0073,0.1128
27452,0.0058,0.1411
27453,0.1185,0.4366
27454,0.1269,0.3804
27455,0.3335,0.154
27456,0.1185,0.4366
27457,0.0891,0.2947
27458,0.043,0.3063
27459,0.1185,0.4366
27460,0.7591,0.9221
27461,0.0866,0.1735
27462,0.1185,0.4366
27463,0.1713,0.4882
27464,0.2887,0.7996
27465,0.7364,0.9538
27466,0.0053,0.0473
27467,0.0151,0.2822
27468,0.0209,0.4045
27469,0.0659,0.7096
27470,0.8098,0.9226
27471,0.1138,0.7253
27472,0.2338,0.6291
27473,0.1185,0.4366
27474,0.2484,0.5052
27475,0.0195,0.0346
27476,0.0991,0.3927
27477,0.0436,0.2694
27478,0.0231,0.6771
27479,0.1185,0.4366
27480,0.1857,0.586
27481,0.7309,0.8173
27482,0.4188,0.3321
27483,0.5455,0.6652
27484,0.2272,0.9011
27485,0.0062,0.7174
27486,0.1185,0.4366
27487,0.2092,0.878
27488,0.6774,0.9117
27489,0.8853,0.8378
27490,0.0097,0.2528
27491,0.376,0.6569
27492,0.0196,0.4961
27493,0.2434,0.9201
27494,0.1821,0.7043
27495,0.0742,0.2643
27496,0.0183,0.1872
27497,0.026,0.0202
27498,0.0666,0.6651
27499,0.1224,0.8115
27500,0.1497,0.9408
27501,0.0551,0.4278
27502,0.1904,0.7541
27503,0.1258,0.55
27504,0.0112,0.0324
27505,0.0143,0.1081
27506,0.2934,0.8643
27507,0.1185,0.4366
27508,0.1185,0.4366
27509,0.0573,0.4366
27510,0.6367,0.3888
27511,0.1409,0.6323
27512,0.0438,0.2983
27513,0.1289,0.268
27514,0.2283,0.562
27515,0.6634,0.4971
27516,0.4856,0.8029
27517,0.0115,0.0369
27518,0.8321,0.9541
27519,0.0097,0.0746
27520,0.1128,0.2316
27521,0.1483,0.3609
27522,0.1672,0.1299
27523,0.0123,0.2867
27524,0.0642,0.4054
27525,0.0517,0.2763
27526,0.3376,0.6617
27527,0.0243,0.9022
27528,0.3041,0.8295
27529,0.0694,0.6897
27530,0.1307,0.1617
27531,0.0772,0.068
27532,0.1018,0.9225
27533,0.4831,0.5875
27534,0.0565,0.0796
27535,0.0407,0.7841
27536,0.173,0.452
27537,0.1185,0.4366
27538,0.5451,0.4299
27539,0.5236,0.7709
27540,0.1185,0.4366
27541,0.6325,0.946
27542,0.0269,0.2056
27543,0.5603,0.6985
27544,0.0588,0.1684
27545,0.3064,0.1365
27546,0.1185,0.4366
27547,0.1185,0.4366
27548,0.0738,0.9438
27549,0.0526,0.7018
27550,0.1071,0.093
27551,0.1001,0.3757
27552,0.0435,0.7519
27553,0.1268,0.3175
27554,0.3432,0.4629
27555,0.129,0.3653
27556,0.1402,0.7613
27557,0.3693,0.9131
27558,0.0355,0.1673
27559,0.2115,0.7627
27560,0.3764,0.7635
27561,0.5288,0.844
27562,0.3777,0.6713
27563,0.0978,0.4845
27564,0.292,0.3403
27565,0.1023,0.2413
27566,0.4121,0.1495
27567,0.0389,0.6924
27568,0.3598,0.9398
27569,0.0126,0.0482
27570,0.2396,0.71
27571,0.0337,0.0523
27572,0.0046,0.0249
27573,0.0217,0.3371
27574,0.2527,0.387
27575,0.0146,0.2887
27576,0.0136,0.1205
27577,0.0649,0.4927
27578,0.2494,0.5227
27579,0.1552,0.6584
27580,0.1185,0.4366
27581,0.0764,0.1485
27582,0.1234,0.2776
27583,0.056,0.1889
27584,0.8463,0.5768
27585,0.1225,0.251
27586,0.5514,0.8152
27587,0.0809,0.6159
27588,0.0571,0.2224
27589,0.1225,0.4109
27590,0.1615,0.3338
27591,0.2219,0.6358
27592,0.0767,0.0834
27593,0.1185,0.4366
27594,0.1185,0.4366
27595,0.0435,0.1671
27596,0.1669,0.3188
27597,0.1761,0.4479
27598,0.1185,0.4366
27599,0.4405,0.8367
27600,0.0539,0.5708
27601,0.0027,0.7839
27602,0.8681,0.9181
27603,0.1047,0.0827
27604,0.1185,0.4366
27605,0.7238,0.7904
27606,0.1976,0.3345
27607,0.6987,0.5647
27608,0.165,0.6163
27609,0.1838,0.6204
27610,0.5229,0.7
27611,0.4928,0.1497
27612,0.0101,0.6851
27613,0.8889,0.9636
27614,0.1432,0.4151
27615,0.2021,0.9544
27616,0.0134,0.0256
27617,0.431,0.4571
27618,0.1521,0.4024
27619,0.4202,0.4703
27620,0.1185,0.4366
27621,0.149,0.5355
27622,0.6586,0.9597
27623,0.1632,0.8729
27624,0.2096,0.8333
27625,0.0493,0.3442
27626,0.0238,0.1611
27627,0.9071,0.9037
27628,0.0525,0.6956
27629,0.0058,0.1147
27630,0.5554,0.7225
27631,0.0786,0.2595
27632,0.0277,0.1085
27633,0.5575,0.7465
27634,0.1185,0.4366
27635,0.1328,0.4377
27636,0.4453,0.8982
27637,0.0314,0.0911
27638,0.183,0.3307
27639,0.0223,0.2954
27640,0.8446,0.5901
27641,0.3236,0.7317
27642,0.1611,0.6443
27643,0.0109,0.0326
27644,0.0237,0.4722
27645,0.0513,0.0407
27646,0.0842,0.4733
27647,0.1185,0.4366
27648,0.1185,0.4366
27649,0.026,0.5005
27650,0.064,0.6298
27651,0.2755,0.8738
27652,0.1185,0.4366
27653,0.0518,0.0884
27654,0.191,0.4461
27655,0.1863,0.2773
27656,0.1185,0.4366
27657,0.6293,0.4106
27658,0.0585,0.6871
27659,0.0539,0.0542
27660,0.4173,0.2435
27661,0.1646,0.0547
27662,0.0048,0.3443
27663,0.3737,0.921
27664,0.058,0.0763
27665,0.8982,0.7162
27666,0.1579,0.8255
27667,0.092,0.2974
27668,0.8561,0.9772
27669,0.2227,0.9203
27670,0.4221,0.9519
27671,0.0828,0.7687
27672,0.0185,0.2133
27673,0.1185,0.4366
27674,0.0514,0.2938
27675,0.5972,0.8139
27676,0.3823,0.9251
27677,0.1324,0.2646
27678,0.1124,0.2578
27679,0.1728,0.5486
27680,0.7878,0.8409
27681,0.0034,0.0162
27682,0.0423,0.8176
27683,0.1162,0.5732
27684,0.1287,0.3138
27685,0.0659,0.0614
27686,0.1967,0.3939
27687,0.1185,0.4366
27688,0.0759,0.5468
27689,0.6895,0.9578
27690,0.1185,0.4366
27691,0.8305,0.9044
27692,0.0243,0.1756
27693,0.1185,0.4366
27694,0.0614,0.289
27695,0.0795,0.2759
27696,0.0306,0.6275
27697,0.7978,0.9396
27698,0.1786,0.2481
27699,0.0051,0.1275
27700,0.0931,0.5557
27701,0.1781,0.1457
27702,0.6083,0.2402
27703,0.0782,0.0149
27704,0.0117,0.1246
27705,0.7907,0.8699
27706,0.1208,0.947
27707,0.0068,0.2597
27708,0.2495,0.5044
27709,0.2552,0.1899
27710,0.1185,0.4366
27711,0.5097,0.3789
27712,0.1128,0.1173
27713,0.0139,0.0518
27714,0.2169,0.0521
27715,0.8284,0.7392
27716,0.1185,0.4366
27717,0.0235,0.1148
27718,0.17,0.5055
27719,0.0046,0.0688
27720,0.0435,0.1562
27721,0.3429,0.2649
27722,0.1185,0.4366
27723,0.1654,0.8294
27724,0.0237,0.1355
27725,0.0681,0.5386
27726,0.1185,0.4366
27727,0.3061,0.9542
27728,0.1185,0.4366
27729,0.0962,0.0747
27730,0.7896,0.756
27731,0.8451,0.9381
27732,0.043,0.8794
27733,0.1496,0.4702
27734,0.1185,0.4366
27735,0.1185,0.4366
27736,0.2904,0.4193
27737,0.0241,0.7497
27738,0.5072,0.9673
27739,0.4911,0.6816
27740,0.0304,0.3426
27741,0.394,0.7474
27742,0.0672,0.4705
27743,0.6695,0.7842
27744,0.1633,0.4769
27745,0.4728,0.8126
27746,0.124,0.7301
27747,0.1702,0.3507
27748,0.1142,0.1036
27749,0.1219,0.7723
27750,0.1142,0.4941
27751,0.1562,0.2066
27752,0.1185,0.4366
27753,0.0577,0.0989
27754,0.0914,0.8519
27755,0.1185,0.4366
27756,0.1588,0.2476
27757,0.0615,0.1495
27758,0.0156,0.8408
27759,0.1185,0.4366
27760,0.2997,0.842
27761,0.1081,0.6603
27762,0.0127,0.0296
27763,0.021,0.5053
27764,0.2669,0.6454
27765,0.0419,0.2553
27766,0.1185,0.4366
27767,0.5572,0.8355
27768,0.0957,0.0307
27769,0.1152,0.2781
27770,0.0323,0.4683
27771,0.1328,0.7174
27772,0.864,0.8583
27773,0.1398,0.2812
27774,0.3035,0.1394
27775,0.2741,0.3108
27776,0.0953,0.0295
27777,0.1596,0.2984
27778,0.1329,0.1366
27779,0.1185,0.4366
27780,0.0897,0.8492
27781,0.0419,0.0921
27782,0.8152,0.8494
27783,0.1185,0.4366
27784,0.0624,0.0796
27785,0.0249,0.2658
27786,0.0135,0.0835
27787,0.0746,0.0562
27788,0.0238,0.0868
27789,0.8803,0.9542
27790,0.8458,0.8683
27791,0.1185,0.4366
